id,predicted_answer,correct_answer,result,time_cost
28-0007,C,C,True,2.7394793033599854
28-0008,A,D,False,45.547576665878296
28-0009,B,D,False,1.582451581954956
28-0010,B,D,False,1.542283058166504
28-0011,A,D,False,65.47598576545715
28-0012,A,D,False,1.186563491821289
28-0013,D,B,False,2.0545809268951416
28-0014,A,D,False,1.5426034927368164
28-0015,A,A,True,2.0654375553131104
28-0016,B,B,True,56.57025718688965
28-0017,C,D,False,1.9887523651123047
28-0018,A,B,False,1.186499834060669
28-0019,B,D,False,42.717442989349365
28-0020,D,D,True,71.92062449455261
24-0007,C,B,False,1.5880284309387207
24-0008,C,C,True,1.5395605564117432
24-0009,A,D,False,1.1936378479003906
24-0010,B,B,True,1.5911638736724854
24-0011,A,A,True,2.053398370742798
24-0012,C,C,True,1.190436601638794
24-0013,C,C,True,2.0527005195617676
24-0014,A,A,True,1.1937119960784912
24-0015,B,D,False,1.590402364730835
24-0016,A,D,False,1.3090033531188965
24-0017,B,B,True,1.193432092666626
24-0018,A,B,False,1.5402371883392334
24-0019,A,A,True,1.18788743019104
24-0020,A,B,False,1.1901166439056396
22-0006,B,D,False,1.5421967506408691
22-0007,D,D,True,2.56972336769104
22-0008,D,C,False,1.5835790634155273
22-0009,D,D,True,1.5420722961425781
22-0010,B,B,True,1.1914889812469482
22-0011,C,C,True,1.189054250717163
22-0012,B,A,False,1.1879448890686035
22-0013,B,B,True,1.5609521865844727
22-0014,D,D,True,1.543705940246582
22-0015,C,D,False,2.0611796379089355
22-0020,B,C,False,23.775150060653687
22-0021,A,D,False,1.5498993396759033
22-0022,D,D,True,1.1939232349395752
31-0006,A,A,True,1.9769928455352783
31-0007,D,A,False,1.5812041759490967
31-0008,B,A,False,2.569870710372925
31-0009,C,A,False,1.189725637435913
31-0010,A,C,False,33.312384605407715
31-0011,A,D,False,41.14883041381836
31-0012,A,C,False,1.5570287704467773
31-0013,B,B,True,13.493948936462402
31-0014,,C,False,0.7961647510528564
31-0015,B,A,False,1.9770920276641846
31-0016,D,D,True,1.5873370170593262
31-0017,B,D,False,1.583003044128418
31-0018,B,B,True,1.1884934902191162
25-0007,D,D,True,1.1932096481323242
25-0008,C,A,False,1.1929259300231934
25-0009,C,C,True,1.1879091262817383
25-0010,C,C,True,2.3785324096679688
25-0011,A,A,True,1.1909079551696777
25-0012,D,B,False,1.9800305366516113
25-0013,C,A,False,1.9851405620574951
25-0014,D,D,True,1.1904847621917725
25-0016,A,A,True,1.9782531261444092
25-0017,B,B,True,1.19181489944458
25-0018,D,D,True,1.9769883155822754
25-0019,C,D,False,1.1904234886169434
23-0006,C,B,False,1.1866183280944824
