sentence_id,score,sentence,question,answer
0,0.9912153482437134,.,What is the name of the group that is a member of the IC?,.
1,0.9898560047149658,set collected time mining technique identies pat terns conrmed rejected data set increases become,What is the set collected time mining technique identies pat terns conrmed rejected data,set increases become
2,0.9874522089958191,basic unit articial neural network modeled neurons brain,What is the brain model of neurons brain?,basic unit articial neural network
3,0.9811025857925415,Pattern discovery matching techniques military applications assisting identify targets,What are the techniques used to match patterns?,military applications assisting identify targets
4,0.9791437983512878,predicting future,What is the prediction of future?,predicting future
5,0.9775276780128479,Benets is a technology that has been used since the 1970s.,Benets is a technology that has been used since the 1970s.,Benets is a technology that has been used since the 1970s.
6,0.9772502183914185,a drill roll is a piece of paper that is used to cut a piece of paper,What is a piece of paper used to cut a piece of paper?,a drill roll
7,0.9770919680595398,gene expression,What is the expression of gene expression?,gene expression
8,0.9758474230766296,analysis type discussing requires complex calculations handling time series data,What is the complex process of analyzing time series data?,calculations
9,0.9748193621635437,bit like construction engineers set reusable solutions construct bridges specific scenarios suspension bridge arch bridge,What is the name of the bridges that engineers set up?,suspension bridge arch bridge
10,0.9741812944412231,mastered dimensional modeling technique helps design logical model,What is the technique used to design logical model?,mastered dimensional modeling
11,0.9727821350097656,cases multiple techniques used back back greater advantage,What is the advantage of multiple techniques used back back?,greater advantage
12,0.9725982546806335,a state source data,What state source data is a state source data?,state source data
13,0.9721037745475769,Figure 127 Data capture techniques advantages disadvantages,What is the disadvantage of data capture techniques?,disadvantages
14,0.9717602133750916,look back steps one step relates physical storage structure several others deal performance Exception Handling1,What is one step related to physical storage structure?,look back steps
15,0.9704867005348206,nancial area requirements forecasting dominate,What is the predominant forecasting for the nancial area requirements?,forecasting
16,0.969175398349762,supermarts designed using dimensional modeling technique,What is the technique used to create supermarts?,dimensional modeling
17,0.9678054451942444,Using a stocking method to find a stocking pattern.,What method is used to find a stocking pattern?,stocking
18,0.9673001170158386,scientic community pushing sophisticated Eclipse5 approaches genomics proteomics,What is the name of the community pushing sophisticated Eclipse5 approaches?,scientic
19,0.9668959975242615,articial key eld usually systemassigned sequential numbers used dimensional model link ITKE,What type of number is ITKE usually systemassigned sequentially?,sequential
20,0.966780960559845,Figure 127 highlights advantages disadvantages different techniques,What is the benefit disadvantage of different techniques?,advantages
21,0.9664146304130554,Briey describe cluster detection technique,Briey describe cluster detection technique,Briey
22,0.9657312035560608,Dependency Injection1 neural networks technique contain validation method determine termination,What is the method of validation?,termination
23,0.9639388918876648,a mana ging unit is placed in a storage unit.,What is a mana ging unit placed in?,a storage unit
24,0.9639220833778381,a novel method for determining the mutation of a mutated molecule.,What is a novel method for determining the mutation of a mutated molecule?,a novel method for determining the mutation of a mutated molecule.
25,0.9636632800102234,fermentation processes complicated,What is the complicated process of fermentation?,fermentation
26,0.9635090827941895,explain later mechanics work,What is the explanation for later mechanics work?,explain later mechanics work
27,0.9631375670433044,apply Eclipse5 technique nice discover interesting patterns relationships,What is Eclipse5 technique?,interesting patterns relationships
28,0.9631227850914001,discussion dealt with one technique time,What technique was used for the discussion?,one
29,0.9628426432609558,contrast techniques deferred data extraction capture capture changes real time,What techniques deferred data extraction capture capture changes real time?,contrast techniques
30,0.9622811079025269,a data extraction technique case,What is the case for data extraction technique?,data extraction technique case
31,0.9615803956985474,tehty tehty tehty t,What is the name of the tehty tehty t,tehty
32,0.9594147205352783,Reverse Engineering,What is the result of a reverse engineering,Reverse Engineering
33,0.9588888883590698,Advanced Visualization Techniques remarkable advance visualization techniques transition static charts dynamic interactive presentations,Advanced visualization techniques remarkable advance visualization techniques transition static charts dynamic interactive presentations,Advanced Visualization Techniques
34,0.9588638544082642,genetics is a field of study in which organisms are able to identify and study the,What is a field of study in which organisms are able to identify and study the genetic,genetics
35,0.9588056802749634,a copy of the source data should be kept in a proper format.,What should a copy of the source data be kept in?,a proper format
36,0.957859456539154,content,What is the name of the group that is a member of the group?,content
37,0.9570375084877014,Using a wide spectrum complex multidimen sional analysis involving intricate calculations ,What is the multidimen sional analysis used to analyze complex calculations?,wide spectrum
38,0.9557909369468689,Limitations complex analysis functions,Limitations complex analysis functions,Limitations
39,0.9551088809967041,particular note specic attributes product dimension product name subcategory category product line department,What is product dimension product name subcategory category product line department?,specic attributes
40,0.9551020264625549,Use a sandbox to make a sandbox.,What is the name of the sandbox used to make a sandbox?,sandbox
41,0.9547092318534851,specically Abstraction01 tools,What tool is the Abstraction01 tool?,specically Abstraction01 tools
42,0.9541444182395935,"Using a traditional tool method, you can use a simple tool to calculate the size of",What method can you use to calculate the size of a tool?,traditional tool method
43,0.9535555243492126,Suppose want apply technique capture changes product data,What is the Suppose want apply technique capture?,changes product data
44,0.9531771540641785,technique works well number revised records small,What is the technique that works well?,number revised records small
45,0.9531018733978271,situations complex data transformations EII may result high system overhead,What can result in high system overhead?,situations complex data transformations EII
